State,District,Crop,Season,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21
AN,NORTH AND MIDDLE ANDAMAN,Arhar/Tur,Rabi,0.30831918505942274,0.3019047619047619,0.2857142857142857,3,0.9928057553956835,0.6,0.04615384615384615,0.5,,,
AN,SOUTH ANDAMANS,Arhar/Tur,Rabi,0.6439024390243903,,,0.4,0.4,0.4,,,,,
AN,NICOBARS,Banana,Whole Year,5.775716694772344,5.995165189363417,8.439834024896264,7.65,9.208211143695015,3.713733075435203,2.2001471670345842,0.05822784810126582,0.103015294249412,,
AN,NORTH AND MIDDLE ANDAMAN,Banana,Whole Year,12.127853881278538,13.321114369501466,10.031738512553293,6.895273539263118,7.980769230769231,9.490662139219015,5.164031620553359,8.453603488073865,10.759430626863836,,
AN,SOUTH ANDAMANS,Banana,Whole Year,15.325,15.138705416116249,15.132100396301189,11.44078947368421,11.309262166405023,14.21875,14.897210976158345,19.596363636363634,21.446205357142855,,
AN,NICOBARS,Coconut,Whole Year,4896.978021978022,4777.244688142563,6129.6928327645055,6564.31252132378,6494.922647038778,6439.084219133279,6482.4797843665765,,,,
AN,NORTH AND MIDDLE ANDAMAN,Coconut,Whole Year,3462.3773173391496,4252.998909487459,4843.5374149659865,4559.023066485753,4734.693877551021,5306.122448979592,5442.1768707483,,,,
AN,SOUTH ANDAMANS,Coconut,Whole Year,3107.3446327683614,5561.829474872953,4929.577464788732,4494.38202247191,4800.6737787759685,4938.271604938272,4713.804713804714,,,,
AN,NICOBARS,Maize,Rabi,4.744791666666667,0.675,,0.5257731958762887,9.166666666666668,1,,,,,
AN,NORTH AND MIDDLE ANDAMAN,Maize,Rabi,1.1118800461361016,1.5,1.4040816326530612,2.3355437665782497,4.725388601036269,3.6923076923076925,2.3595959595959597,0.574134552580013,2.1635322976287816,,
AN,SOUTH ANDAMANS,Maize,Rabi,3.4657534246575343,2.977777777777778,2.6666666666666665,2.477777777777778,2.0214285714285714,2.0272727272727273,1.842962962962963,1.5384615384615385,1.113861386138614,,
AN,NICOBARS,Moong(Green Gram),Rabi,0.7333333333333334,,,,2,2,0.4,,,,
AN,NORTH AND MIDDLE ANDAMAN,Moong(Green Gram),Rabi,0.47625363683039534,0.5972592772253214,0.47480482611781405,0.43020969855832236,0.4989426822481914,0.6121849214422969,0.29130549334738504,0.31136950904392763,0.21002004008016034,,
AN,SOUTH ANDAMANS,Moong(Green Gram),Rabi,0.596989966555184,0.5193798449612403,0.41708542713567837,0.5428571428571428,0.5504587155963303,0.3194444444444444,0.18846153846153846,0.6,,,
AN,NICOBARS,Rice,Autumn,2.857142857142857,1.6666666666666667,1.142857142857143,2.3773584905660377,2.347826086956522,2.2399999999999998,1.4302848575712144,0.53,1.4658536585365853,,
AN,NORTH AND MIDDLE ANDAMAN,Rice,Autumn,2.9624503018701223,1.9371210205016374,1.851706254606788,2.0099801567938584,2.0517971602434075,2.2500807974280903,2.5790338762354046,2.1038727008902307,2.1168097877595566,,
AN,SOUTH ANDAMANS,Rice,Autumn,2.3741773738639926,2.3115558671680794,1.2196874999999998,2.4960605105578315,1.7357009345794392,2.030541416011106,2.71301998919503,2.0866736183524504,2.3061038011695905,,
AN,NICOBARS,Urad,Rabi,0.7733333333333333,,,0.39682539682539686,,,,,,,
AN,NORTH AND MIDDLE ANDAMAN,Urad,Rabi,0.43302501179801794,0.5542561871090562,0.5228984633925882,0.4618241848947586,0.5911582024113994,0.7216972034715525,0.3224082037710883,0.2914522330671399,0.16136865342163356,,
AN,SOUTH ANDAMANS,Urad,Rabi,0.44264705882352945,0.34736842105263155,0.4829545454545454,0.47692307692307695,0.36170212765957444,0.27692307692307694,0.2,1.0479041916167666,,,
