State,District,Crop,Season,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21
DN,DADRA AND NAGAR HAVELI,Arhar/Tur,Kharif,0.8,0.7998345740281224,0.8,,,0.8271908271908271,3.431404958677686,0.8448707256046706,1.1,,
DN,DADRA AND NAGAR HAVELI,Cowpea(Lobia),Kharif,,,,,,,1.2,,1.2,,
DN,DADRA AND NAGAR HAVELI,Gram,Rabi,1,1,1,,,,1.05,,1.05,,
DN,DADRA AND NAGAR HAVELI,Groundnut,Kharif,1,1,0.85,,,0.9375,1.5,0.9411764705882353,1.5,,
DN,DADRA AND NAGAR HAVELI,Jowar,Kharif,1.1012345679012345,0.800453514739229,0.8,0.8,0.8,0.8051391862955032,2.2,0.8536585365853658,22,,
DN,DADRA AND NAGAR HAVELI,Maize,Kharif,1,1,1,1,1,1,1,1.072289156626506,1,,
DN,DADRA AND NAGAR HAVELI,Niger seed,Kharif,0.75,0.60431654676259,0.60431654676259,,,0.5939849624060151,0.3,0.6821705426356589,0.3,,
DN,DADRA AND NAGAR HAVELI,Other  Rabi pulses,Rabi,1,1,1,,,,0.7,,1,,
DN,DADRA AND NAGAR HAVELI,Other Kharif pulses,Kharif,,,,,,0.8142292490118577,,0.8495702005730659,,,
DN,DADRA AND NAGAR HAVELI,Ragi,Kharif,1.6446858029480218,1.0297029702970297,1.0298076923076922,1.0297029702970297,1.029126213592233,1.0247524752475248,1.7,1.039647577092511,1.7,,
DN,DADRA AND NAGAR HAVELI,Rapeseed &Mustard,Rabi,,,,,,0.9090909090909091,0.5,0.8333333333333334,0.5,,
DN,DADRA AND NAGAR HAVELI,Rice,Kharif,1.9229941291585126,1.7599844901124466,1.9300222386953299,1.8759713315729913,1.866641957005189,2.0666043971835033,2.199957844446006,2.0741839762611276,2.1666385964912283,,
DN,DADRA AND NAGAR HAVELI,Sannhamp,Winter,0.5961538461538461,0.7258064516129032,0.73,,,,,,,,
DN,DADRA AND NAGAR HAVELI,Sesamum,Kharif,1,1,1,,,,0.25,,0.25,,
DN,DADRA AND NAGAR HAVELI,Small millets,Kharif,1,0.9512195121951219,0.948051948051948,0.948051948051948,0.9441860465116279,0.8,,0.7467532467532467,,,
DN,DADRA AND NAGAR HAVELI,Sugarcane,Rabi,80,80,80,,,95,80,91.50519031141869,80,,
DN,DADRA AND NAGAR HAVELI,Urad,Kharif,0.8,0.7997086671522214,0.7997097242380261,,,0.9538598047914818,1,0.9704433497536946,1,,
DN,DADRA AND NAGAR HAVELI,Wheat,Winter,2.230769230769231,2,2,2,2.079136690647482,2.141843971631206,2.3,2.223021582733813,,,
