State,District,Crop,Season,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21
KL,ALAPPUZHA,Arecanut,Whole Year,0.47804479309766085,0.4081192004605585,0.49170872386445563,0.3934049079754601,0.48123123123123124,0.3520863982376329,0.3308099924299773,0.26993865030674846,0.28095627298733145,0.2730138713745271,
KL,ERNAKULAM,Arecanut,Whole Year,1.0747187319365352,0.938517910203223,0.852334875893984,0.8792292180147883,1.09678199854827,0.83690653572638,0.7640697960186779,0.7042574759249873,0.7383640112665634,0.7237788246962559,
KL,IDUKKI,Arecanut,Whole Year,0.7099736564386997,0.9255876880823353,0.926041261191125,0.753884922301554,0.7720848056537103,0.7116900303891777,0.9781854238968766,0.8433609958506224,0.7818454916378963,0.3490566037735849,
KL,KANNUR,Arecanut,Whole Year,1.030143754344731,1.3029714735915279,1.2704479293830406,1.2152826589014962,1.1612200435729847,1.510035139235759,1.329141779314681,1.2668281891920363,1.0181574255955719,0.8009779442363713,
KL,KASARAGOD,Arecanut,Whole Year,1.6651026326307847,1.9508623238143559,1.9431272112795057,1.7268062397372743,2.7441413548283777,2.700233120960206,2.659769996919602,2.3436509508716323,2.147508724209042,2.1265065958052576,
KL,KOLLAM,Arecanut,Whole Year,0.5802443606212659,0.8208368800130955,0.6112747160286075,0.6539466806063774,0.7570828961175237,0.5542605263566814,0.6082529474812433,0.6501529051987768,0.6451254444883445,0.5210191082802548,
KL,KOTTAYAM,Arecanut,Whole Year,0.7371777637667883,0.7276596718722281,0.6509090909090909,0.6976597090449083,0.7688410386320456,0.6944304393337835,0.7086985839514498,0.7608232789212207,0.7765971967786662,0.4748148148148148,
KL,KOZHIKODE,Arecanut,Whole Year,0.9081691691929987,1.0687186626330463,0.9644774080218601,0.8967363847630595,1.1317479430062212,1.0209388194501319,0.7198128837345288,1.0024351508734781,0.8441059032620564,0.6337955829481253,
KL,MALAPPURAM,Arecanut,Whole Year,0.881283422732453,1.1629551227984996,1.3974550512595951,1.0104054923836088,1.2027571926765475,1.3053510735676914,0.8987975406714185,0.8922416197222377,0.8087026451443313,0.6606898727521295,
KL,PALAKKAD,Arecanut,Whole Year,0.9643790799049482,1.254817354741018,0.9317779397979377,0.8786864672662623,0.9447141911277863,0.9943839602714486,0.825750027676298,0.8438830152409721,0.797167079738063,0.7489171807323796,
KL,PATHANAMTHITTA,Arecanut,Whole Year,0.6028424280898775,0.6185684638793875,0.6399331662489557,0.6884297520661157,0.7106598984771574,0.625702923010629,0.5417057169634489,0.610636277302944,0.6307838729927303,0.5532945736434108,
KL,THIRUVANANTHAPURAM,Arecanut,Whole Year,0.6025757493631091,0.5104292324217137,0.5634765625,0.4755244755244755,0.5769603097773476,0.621406429557811,0.5966135458167331,0.5555555555555556,0.5126839336840002,0.3981373690337602,
KL,THRISSUR,Arecanut,Whole Year,0.6826161983659654,0.6662828819149644,0.8058887677208287,0.6643835616438356,0.7653912769642576,0.9724911455949634,0.7974081364829396,0.7780590717299578,0.8432471126892832,0.7587150939952546,
KL,WAYANAD,Arecanut,Whole Year,0.6761003621839029,0.5248691693929338,0.5016878732796676,0.3271488383548149,0.5227761990872298,0.5518174416151338,0.5994701548141402,0.4047089816415576,0.3104062449112866,0.434654919236417,
KL,IDUKKI,Arhar/Tur,Whole Year,,,1.6666666666666667,1.7,,,,,,,
KL,KANNUR,Arhar/Tur,Whole Year,,,1,1,,,,,,,
KL,KASARAGOD,Arhar/Tur,Whole Year,,,1.7142857142857142,1.75,,,,,,,
KL,PALAKKAD,Arhar/Tur,Whole Year,,,1.5998160073597056,1.6138855054811205,1.6735187424425635,1.28944618599791,1.5795454545454546,1.5603864734299517,1.6462406015037594,1.6720257234726688,
KL,PATHANAMTHITTA,Arhar/Tur,Whole Year,,,,,,,,,,1,
KL,THRISSUR,Arhar/Tur,Whole Year,,,,,1,1,,,,,
KL,WAYANAD,Arhar/Tur,Whole Year,,,1.5,1.5,0.7993827160493827,1.2896405919661733,,,,,
KL,ALAPPUZHA,Banana,Whole Year,7.880571082329775,7.921857346961205,7.927099841521395,9.49364406779661,8.295555555555556,8.689516044297813,7.211946050096339,7.601386481802426,6.085448265033758,6.2175066312997345,
KL,ERNAKULAM,Banana,Whole Year,9.486874638937032,9.601458178996014,9.084496956677407,9.587797091167081,9.166598694942904,9.359621609062795,9.263474214811943,9.38044713906783,7.053103027333947,8.670471014492753,
KL,IDUKKI,Banana,Whole Year,8.728762986001945,8.735558528151362,9.364935064935064,9.23824353783868,9.19371576823292,8.639281195941237,8.400286123032904,9.700204738227551,8.9176932345322,9.915069301091124,
KL,KANNUR,Banana,Whole Year,8.131082841758621,8.694938158932969,8.598274209012464,8.89375629405841,8.526109660574413,9.66425878048152,9.071216617210682,8.455717255717255,9.180832334630763,10.333036905291241,
KL,KASARAGOD,Banana,Whole Year,11.391827498309318,6.2610951857378465,8.829867674858223,7.02258726899384,7.353383458646617,10.874658978174603,10.539156626506024,9.873362445414847,8.695297210235216,11.04851330203443,
KL,KOLLAM,Banana,Whole Year,7.742163430641297,7.276101842996965,6.981263616557734,6.931234165761853,6.971756037658617,7.073807955057739,7.102657444484892,6.947012069473065,7.515817727731813,6.833477633477633,
KL,KOTTAYAM,Banana,Whole Year,8.863834895311264,8.783178471109137,8.373312152501986,9.05084067253803,8.468178493050475,8.013085462519207,7.908727272727273,8.401561991539213,8.97409676893703,9.80096501809409,
KL,KOZHIKODE,Banana,Whole Year,7.391050139644552,8.137834171411427,8.009411764705883,7.129210042865891,7.934497816593886,9.143687767631429,9.261802575107296,8.38732815301853,8.924264589620728,7.859527921704087,
KL,MALAPPURAM,Banana,Whole Year,7.289602183699515,9.025256306247915,8.301368043564883,8.684237726098191,8.32565130260521,8.37263195051912,8.225280898876404,8.044374009508717,7.125156690444435,8.750670720801288,
KL,PALAKKAD,Banana,Whole Year,8.643120682991954,8.86407851877146,9.190710490061011,8.45194238824812,9.401546059695082,9.666346169122297,9.160536877426146,11.157277837579237,8.569293415748993,8.972777340676632,
KL,PATHANAMTHITTA,Banana,Whole Year,7.9173094927406185,7.949960075881255,7.52970297029703,7.282919847328245,7.832722273143904,7.954101211467655,7.961464354527938,7.4956916099773245,7.819669200628375,8.05253784505788,
KL,THIRUVANANTHAPURAM,Banana,Whole Year,5.618936724269703,6.0504979963103125,6.80964395850855,8.003841229193341,6.869471876341778,6.853271146788647,7.14193083573487,7.281453548165924,8.933338150335425,9.133447390932421,
KL,THRISSUR,Banana,Whole Year,7.866734987036647,9.226485803684213,9.638486688463335,9.032244556113902,8.26295167609926,9.147142375433623,8.6168097605061,8.913302752293578,4.819594157942355,8.099271402550091,
KL,WAYANAD,Banana,Whole Year,8.404688577843595,8.67754543733281,7.856610954823763,8.508334053027031,9.355723481668067,9.477059312174692,8.340970192869667,8.349195241427571,8.414662486542122,9.727464686180282,
KL,ALAPPUZHA,Black pepper,Whole Year,0.1000756896723434,0.18794911418952479,0.23161189358372458,0.2383107088989442,0.23941368078175895,0.2182292174252022,0.2231404958677686,0.20193861066235863,0.1916434083073387,0.1927536231884058,
KL,ERNAKULAM,Black pepper,Whole Year,0.1428451168400062,0.25233917652518706,0.29862754377662093,0.2956564659427443,0.2817564035546262,0.2825067889298932,0.2502679528403001,0.2569326542161856,0.2391553161597587,0.22480211081794196,
KL,IDUKKI,Black pepper,Whole Year,0.3542803348267945,0.5172168349940366,0.695326248428751,0.350293542074364,0.5453799142570465,0.5971588063815425,0.42763187942452613,0.5593829295129454,0.5563544310962982,0.4801270375040867,
KL,KANNUR,Black pepper,Whole Year,0.18180454836649873,0.38875205866878465,0.47150259067357514,0.39475341028331584,0.4638996973627324,0.3637860641395319,0.5568957669549386,0.33969641214351426,0.3291199653569569,0.4512863770560945,
KL,KASARAGOD,Black pepper,Whole Year,0.3717184331696033,0.8034178388617951,0.5895825637236793,0.6180389477280492,0.6734760051880675,0.4329083694346354,0.5964310226492794,0.5397048489107519,0.45482399189174316,0.5107142857142857,
KL,KOLLAM,Black pepper,Whole Year,0.16539532620384226,0.35908680241851415,0.3967957276368491,0.39029666254635353,0.36837237977805176,0.32806273195690555,0.28238993710691823,0.28718653383716936,0.299927529920039,0.2983134223471539,
KL,KOTTAYAM,Black pepper,Whole Year,0.12798422591793931,0.34337670514165797,0.3693609022556391,0.37564102564102564,0.34385964912280703,0.35765566238751284,0.31157635467980294,0.40233144297416507,0.4028348352730855,0.3337743962950711,
KL,KOZHIKODE,Black pepper,Whole Year,0.10810584676492492,0.17973490220388494,0.32953181272509,0.24633781763826607,0.3080513418903151,0.2687383072663324,0.2820239680426099,0.17321331151118385,0.2655563013694815,0.2564102564102564,
KL,MALAPPURAM,Black pepper,Whole Year,0.08336819372024583,0.20071782436278124,0.21533571712355978,0.2329912580767769,0.22313765877102643,0.15652284920613307,0.22112836046951911,0.19242089771891097,0.20185531577102853,0.2056843679880329,
KL,PALAKKAD,Black pepper,Whole Year,0.17455564460351092,0.3398877809383889,0.3356591994124128,0.4000721500721501,0.35955473098330243,0.3800349850974642,0.40192926045016075,0.3868046571798189,0.4127508761352075,0.37471952131638,
KL,PATHANAMTHITTA,Black pepper,Whole Year,0.22862204137471392,0.495570646372915,0.4450354609929078,0.44646098003629764,0.4244431065623119,0.35124187755245534,0.31907308377896615,0.36810906935388266,0.31733942593162145,0.32158317872603587,
KL,THIRUVANANTHAPURAM,Black pepper,Whole Year,0.1971960712650342,0.42165083454544683,0.35764031134780827,0.3594306049822064,0.38150770512286547,0.4238800307032081,0.3886081763895269,0.3488372093023256,0.33443795547569133,0.3110195674562307,
KL,THRISSUR,Black pepper,Whole Year,0.15010174294333908,0.3586638088331077,0.3082627118644068,0.28043143297380585,0.2787340366463076,0.2677275723751103,0.2524986849026828,0.31176798661461236,0.28878114037354097,0.2653647329121195,
KL,WAYANAD,Black pepper,Whole Year,0.15018534705084766,0.31960607604195235,0.41430967020681947,0.2887582659808964,0.47635135135135137,0.5274733785711601,0.39148130619971605,0.3166388425153033,0.3142161217527258,0.3583972057824779,
KL,IDUKKI,Cardamom,Whole Year,,,0.28074736969403796,0.40993398302420625,0.4715498270983967,0.5825212197422194,0.5296005133964383,0.5747930437014696,0.36305218289847585,0.31396393505743436,
KL,KOTTAYAM,Cardamom,Whole Year,,0.07,0.06,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.046511627906976744,0.03488372093023256,0.011627906976744186,
KL,KOZHIKODE,Cardamom,Whole Year,,0.004545454545454545,0.01818181818181818,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.013636363636363636,0.00909090909090909,0.004545454545454545,0.005128205128205128,
KL,MALAPPURAM,Cardamom,Whole Year,,0.014285714285714285,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.015384615384615385,
KL,PALAKKAD,Cardamom,Whole Year,,0.12091503267973856,0.10312273057371096,0.10526315789473684,0.10526315789473684,0.10507246376811594,0.10526315789473684,0.02505446623093682,0.024328249818445898,0.023602033405954976,
KL,PATHANAMTHITTA,Cardamom,Whole Year,,0.018072289156626505,0.03614457831325301,0.012030075187969926,0.012030075187969926,0.012030075187969926,0.012030075187969926,0.007530120481927711,0.007530120481927711,0.01882530120481928,
KL,WAYANAD,Cardamom,Whole Year,,0.0881636629322942,0.14805825242718446,0.15757575757575756,0.16727272727272727,0.16019417475728157,0.08131067961165049,0.08616504854368932,0.05218446601941747,0.04825737265415549,
KL,ALAPPUZHA,Cashewnut,Whole Year,0.23538428458800204,0.21395689523831846,0.2066350710900474,0.204438149197356,0.1655387818844352,0.1373676951963179,0.14435389988358557,0.17017438364401682,0.20543283323644732,0.1313451776649746,
