State,District,Crop,Season,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21
NL,DIMAPUR,Arhar/Tur,Kharif,0.925,0.9024390243902439,0.9111111111111111,0.9166666666666666,0.92,0.92,0.9038461538461539,0.9230769230769231,0.9230769230769231,0.9230769230769231,
NL,KIPHIRE,Arhar/Tur,Kharif,0.75,0.75,0.9090909090909091,0.7,0.7,0.7,0.9,0.9,0.9,0.9,
NL,KOHIMA,Arhar/Tur,Kharif,0.88,0.88,0.896551724137931,0.896551724137931,0.896551724137931,0.896551724137931,0.9,0.9333333333333333,0.9032258064516129,0.9032258064516129,
NL,LONGLENG,Arhar/Tur,Kharif,0.6666666666666666,0.6666666666666666,0.875,0.8888888888888888,0.8888888888888888,0.9,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,
NL,MOKOKCHUNG,Arhar/Tur,Kharif,0.8461538461538461,0.8461538461538461,0.8928571428571429,0.896551724137931,0.896551724137931,0.896551724137931,0.9,0.9,0.9,0.9,
NL,MON,Arhar/Tur,Kharif,0.8571428571428571,0.8518518518518519,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.90625,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,
NL,PEREN,Arhar/Tur,Kharif,0.8,0.8,0.8888888888888888,0.9,0.9047619047619048,0.9090909090909091,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695,
NL,PHEK,Arhar/Tur,Kharif,0.8055555555555556,0.8648648648648649,0.9047619047619048,0.9069767441860465,0.9318181818181818,0.9318181818181818,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695,
NL,TUENSANG,Arhar/Tur,Kharif,0.8518518518518519,0.8518518518518519,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,
NL,WOKHA,Arhar/Tur,Kharif,0.875,0.875,0.8888888888888888,0.8947368421052632,0.8947368421052632,0.9,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,
NL,ZUNHEBOTO,Arhar/Tur,Kharif,0.8695652173913043,0.8333333333333334,0.8888888888888888,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.9285714285714286,0.9285714285714286,0.9285714285714286,
NL,DIMAPUR,Bajra,Kharif,0.8,0.8,1,1,1,1,1,1,1,1,
NL,KIPHIRE,Bajra,Kharif,0.8,0.8,1,1,1,1,1,1,1,1,
NL,KOHIMA,Bajra,Kharif,0.8571428571428571,0.8571428571428571,1.125,1.125,1.125,1.125,1,1,1,1,
NL,LONGLENG,Bajra,Kharif,0.8,0.8,0.8,0.8,0.8,0.8,1,1,1,1,
NL,MOKOKCHUNG,Bajra,Kharif,0.8333333333333334,0.8333333333333334,1,1,1,1,1,1,1,1,
NL,MON,Bajra,Kharif,0.8888888888888888,0.8888888888888888,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,
NL,PEREN,Bajra,Kharif,1,1,1,1,1,1,1,1,1,1,
NL,PHEK,Bajra,Kharif,0.8333333333333334,0.8333333333333334,1,1,1,1,1,1,1,1,
NL,TUENSANG,Bajra,Kharif,0.8888888888888888,0.8888888888888888,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,
NL,WOKHA,Bajra,Kharif,1,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,
NL,ZUNHEBOTO,Bajra,Kharif,0.8333333333333334,0.8333333333333334,1,1,1,1,1,1,1,1,
NL,DIMAPUR,Barley,Rabi,1.5,1.5714285714285714,1.125,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1,1,1,
NL,KIPHIRE,Barley,Rabi,1.5,1.5,1,1,1,1,1,1,1,1,
NL,KOHIMA,Barley,Rabi,1.5,1.5,1,1,1,1,1.2,1.2,1.2,1.2,
NL,LONGLENG,Barley,Rabi,1.6666666666666667,1.6666666666666667,1,1,1,1,1,1,1,1,
NL,MOKOKCHUNG,Barley,Rabi,1.75,1.75,0.75,1,1,1,1,1,1,1,
