State,District,Crop,Season,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21
SK,EAST DISTRICT,Barley,Rabi,0.9,0.9333333333333333,1.0416666666666667,1.0869565217391304,1.0711111111111111,1.08,1.0869565217391304,1.0888888888888888,1.1481481481481481,1.1495327102803738,
SK,NORTH DISTRICT,Barley,Rabi,1.1785714285714286,1.1428571428571428,1.0714285714285714,1.0785714285714285,1.0714285714285714,1.0928571428571427,1.1,1.103448275862069,1.1928571428571428,1.1904761904761905,
SK,SOUTH DISTRICT,Barley,Rabi,0.8357142857142857,0.8,0.9090909090909091,0.9181818181818182,0.9,0.9285714285714286,0.9285714285714286,0.92,0.9976744186046511,1,
SK,WEST DISTRICT,Barley,Rabi,0.975,1,0.9,0.9,0.9,0.9166666666666666,0.9230769230769231,,,,
SK,EAST DISTRICT,Maize,Kharif,1.7270121278941566,1.7378318584070795,1.699889258028793,1.711111111111111,1.7130144605116797,1.7395172950728506,1.7487208008898776,1.750027811769941,1.75,1.7568111821843164,
SK,NORTH DISTRICT,Maize,Kharif,1.3968965517241378,1.394927536231884,1.4981818181818183,1.5363636363636364,1.56,1.5904139433551199,1.5985757121439281,1.5999292536257517,1.6,1.6009190526687875,
SK,SOUTH DISTRICT,Maize,Kharif,16.269713886950452,1.6354093771868439,1.7309573724668064,1.7610062893081762,1.7622377622377623,1.7985714285714285,1.8226781857451404,1.824,1.8240356083086053,1.8249249249249249,
SK,WEST DISTRICT,Maize,Kharif,1.6700072098053353,1.6796536796536796,1.70821325648415,1.7303532804614274,1.7341040462427746,1.7494322482967448,1.752046332046332,1.7569624105919952,1.757020757020757,1.7570310234850681,
SK,EAST DISTRICT,Other Cereals,Kharif,0.936144578313253,,,,,,0.9983193277310924,0.9983792544570502,0.9983606557377049,1.0065627563576702,
SK,NORTH DISTRICT,Other Cereals,Kharif,0.83,,,,,,0.9715639810426541,0.9715639810426541,0.9736842105263158,0.9719626168224299,
SK,SOUTH DISTRICT,Other Cereals,Kharif,0.9652173913043478,,,,,,0.98,0.9803030303030303,0.9803030303030303,0.983206106870229,
SK,WEST DISTRICT,Other Cereals,Kharif,0.8739130434782608,,,,,,0.9294117647058824,0.9298507462686567,0.9285714285714286,0.9287531806615776,
SK,EAST DISTRICT,Other Kharif pulses,Kharif,0.9094594594594595,0.9066666666666666,0.9298245614035088,0.9574468085106383,0.9574468085106383,0.9659574468085106,0.975,0.9745762711864406,0.9760348583877996,0.9846827133479212,
SK,NORTH DISTRICT,Other Kharif pulses,Kharif,0.9117647058823529,0.9375,0.9166666666666666,0.92,0.9259259259259259,0.9438202247191011,0.9444444444444444,0.9456521739130435,0.944,0.9496402877697842,
SK,SOUTH DISTRICT,Other Kharif pulses,Kharif,1,1,0.9923664122137404,1.0076335877862594,1.0075757575757576,1.0244274809160305,1.025,1.025,1.024505928853755,1.032520325203252,
SK,WEST DISTRICT,Other Kharif pulses,Kharif,8.037037037037036,0.8555555555555555,0.8877551020408163,0.8888888888888888,0.8865979381443299,0.9040333796940194,0.9088235294117647,0.910828025477707,0.9093851132686084,0.9134020618556701,
SK,EAST DISTRICT,Rapeseed &Mustard,Rabi,0.8765714285714286,0.8216216216216217,0.7865853658536586,0.793939393939394,0.7937931034482759,0.8120805369127517,0.8615894039735099,0.8629139072847682,0.8643384822028207,0.8668459986550101,
SK,NORTH DISTRICT,Rapeseed &Mustard,Rabi,0.6254901960784314,0.6862745098039216,0.6774193548387096,0.6903225806451613,0.6870967741935484,0.7096774193548387,0.7170418006430869,0.7193548387096774,0.7258064516129032,0.7252396166134185,
SK,SOUTH DISTRICT,Rapeseed &Mustard,Rabi,0.8110344827586207,0.815068493150685,0.8308823529411765,0.9117647058823529,0.9102941176470588,0.9326845093268451,0.935064935064935,0.9345955249569707,0.9330396475770925,0.933579335793358,
SK,WEST DISTRICT,Rapeseed &Mustard,Rabi,0.7322580645161291,0.8,0.8130841121495327,0.8266666666666667,0.8243243243243243,0.864,0.87,0.868995633187773,0.8654970760233918,0.8714859437751004,
SK,EAST DISTRICT,Rice,Kharif,1.7519191919191919,1.7550607287449393,1.7861507128309573,1.80040733197556,1.8049281314168377,1.8182007064201122,1.828898128898129,1.8436265335828654,1.8473869126043039,1.8559191741708763,
SK,NORTH DISTRICT,Rice,Kharif,1.14,1.134020618556701,1.346938775510204,1.4271255060728745,1.4343434343434343,1.4641304347826087,1.4902173913043477,1.4994582881906826,1.5,1.5037919826652222,
SK,SOUTH DISTRICT,Rice,Kharif,1.7783783783783784,1.7782805429864252,1.8512396694214877,1.9095238095238096,1.9073170731707316,1.946875,1.9601063829787233,1.9633333333333334,1.9660919540229884,1.966867469879518,
SK,WEST DISTRICT,Rice,Kharif,1.8168765743073048,1.8177215189873417,1.8753462603878117,1.8987341772151898,1.900958466453674,1.9399867374005304,1.9505398815743644,1.9563230066023363,1.9584599797365754,1.9586830213040671,
SK,EAST DISTRICT,Small millets,Kharif,0.9904761904761905,0.9880952380952381,1.0344827586206897,1.0357142857142858,1.0357142857142858,1.0480192076830732,1.0614457831325301,1.0615942028985508,1.06631299734748,1.0716180371352786,
SK,NORTH DISTRICT,Small millets,Kharif,0.945,0.9344262295081968,0.9166666666666666,0.9344262295081968,0.9344262295081968,0.9589490968801314,0.9688524590163935,0.9704433497536946,0.9754098360655737,0.9754098360655737,
SK,SOUTH DISTRICT,Small millets,Kharif,0.932,0.9305555555555556,0.9733333333333334,0.9866666666666667,0.9866666666666667,1.0142857142857142,1.0242424242424242,1.025,1.0310077519379846,1.0315789473684212,
SK,WEST DISTRICT,Small millets,Kharif,0.9814814814814815,0.9871794871794872,1.0263157894736843,1.0342105263157895,1.0394736842105263,1.0464135021097047,1.0666666666666667,1.0694444444444444,1.0683760683760684,1.069977426636569,
SK,EAST DISTRICT,Soyabean,Kharif,0.965,0.956989247311828,0.9782608695652174,0.9847826086956522,0.9854545454545455,1,1.000888888888889,1.0008928571428573,1.0009737098344693,1.0019417475728156,
SK,NORTH DISTRICT,Soyabean,Kharif,0.826,0.8333333333333334,0.8333333333333334,0.8566666666666667,0.8566666666666667,0.8609271523178808,0.8666666666666667,0.8708609271523179,0.87,0.869281045751634,
SK,SOUTH DISTRICT,Soyabean,Kharif,0.88,0.8896551724137931,0.9448275862068966,0.9655172413793104,0.9657534246575342,0.9847328244274809,0.9850393700787402,0.9850157728706624,0.9865930599369085,0.9864,
SK,WEST DISTRICT,Soyabean,Kharif,0.8758333333333334,0.8739495798319328,0.9159663865546218,0.9173553719008265,0.9183333333333333,0.9523809523809523,0.9520833333333333,0.952755905511811,0.9536784741144414,0.956268221574344,
SK,EAST DISTRICT,Urad,Kharif,0.9,0.896551724137931,0.9655172413793104,0.9793103448275862,0.9793103448275862,1,1.0034364261168385,1.0034843205574913,1.002,1.0087912087912088,
SK,NORTH DISTRICT,Urad,Kharif,0.8153846153846154,0.8421052631578947,,,,,,,,,
SK,SOUTH DISTRICT,Urad,Kharif,0.088125,0.8888888888888888,0.8920454545454546,0.9090909090909091,0.9115606936416185,0.93,0.9313953488372093,0.9311764705882353,0.9311764705882353,0.9341176470588235,
SK,WEST DISTRICT,Urad,Kharif,0.8297872340425532,0.8433734939759037,0.8688524590163934,0.8699186991869918,0.8702479338842976,0.887308533916849,0.8888888888888888,0.8904694167852063,0.88996138996139,0.8911671924290221,
