State,District,District_code
AN,NORTH AND MIDDLE ANDAMAN,460.0
AN,SOUTH ANDAMANS,598.0
AN,NICOBARS,457.0
AP,ANANTAPUR,25.0
AP,EAST GODAVARI,182.0
AP,KRISHNA,356.0
AP,WEST GODAVARI,678.0
AP,ADILABAD,2.0
AP,CHITTOOR,128.0
AP,GUNTUR,228.0
AP,KADAPA,289.0
AP,KARIMNAGAR,314.0
AP,KHAMMAM,326.0
AP,KURNOOL,361.0
AP,MAHBUBNAGAR,389.0
AP,MEDAK,410.0
AP,NALGONDA,442.0
AP,NIZAMABAD,459.0
AP,PRAKASAM,496.0
AP,RANGAREDDI,524.0
AP,SPSR NELLORE,605.0
AP,SRIKAKULAM,606.0
AP,VISAKHAPATANAM,668.0
AP,VIZIANAGARAM,669.0
AP,WARANGAL,671.0
AR,DIBANG VALLEY,166.0
AR,EAST KAMENG,184.0
AR,EAST SIANG,186.0
AR,KAMLE,296.0
AR,LOHIT,374.0
AR,LONGDING,375.0
AR,LOWER DIBANG VALLEY,377.0
AR,LOWER SIANG,378.0
AR,LOWER SUBANSIRI,379.0
AR,NAMSAI,444.0
AR,PAPUM PARE,477.0
AR,SIANG,576.0
AR,TIRAP,635.0
AR,UPPER SIANG,655.0
AR,UPPER SUBANSIRI,656.0
AR,WEST SIANG,682.0
AR,ANJAW,27.0
AR,CHANGLANG,116.0
AR,KRA DAADI,355.0
AR,KURUNG KUMEY,363.0
AR,TAWANG,620.0
AR,WEST KAMENG,680.0
AS,BAKSA,43.0
AS,BARPETA,65.0
AS,BONGAIGAON,97.0
AS,CACHAR,106.0
AS,CHIRANG,125.0
AS,DARRANG,144.0
AS,DHEMAJI,161.0
AS,DHUBRI,164.0
AS,DIBRUGARH,167.0
AS,DIMA HASAO,168.0
AS,GOALPARA,217.0
AS,GOLAGHAT,219.0
AS,HAILAKANDI,232.0
AS,JORHAT,285.0
AS,KAMRUP,297.0
AS,KAMRUP METRO,298.0
AS,KARBI ANGLONG,311.0
AS,KARIMGANJ,313.0
AS,KOKRAJHAR,341.0
AS,LAKHIMPUR,366.0
AS,MARIGAON,406.0
AS,NAGAON,434.0
AS,NALBARI,441.0
AS,SIVASAGAR,590.0
AS,SONITPUR,597.0
AS,TINSUKIA,634.0
AS,UDALGURI,645.0
BR,ARARIA,30.0
BR,ARWAL,33.0
BR,AURANGABAD,36.0
BR,BANKA,55.0
BR,BEGUSARAI,71.0
BR,BHAGALPUR,79.0
BR,BHOJPUR,87.0
BR,BUXAR,105.0
BR,DARBHANGA,142.0
BR,GAYA,212.0
BR,GOPALGANJ,223.0
BR,JAMUI,268.0
BR,JEHANABAD,274.0
BR,KAIMUR (BHABUA),290.0
BR,KATIHAR,320.0
BR,KHAGARIA,325.0
BR,KISHANGANJ,336.0
BR,LAKHISARAI,367.0
BR,MADHEPURA,383.0
BR,MADHUBANI,384.0
BR,MUNGER,427.0
BR,MUZAFFARPUR,430.0
BR,NALANDA,440.0
BR,NAWADA,453.0
BR,PASHCHIM CHAMPARAN,480.0
BR,PATNA,485.0
BR,PURBI CHAMPARAN,502.0
BR,PURNIA,504.0
BR,ROHTAS,534.0
BR,SAHARSA,541.0
BR,SAMASTIPUR,545.0
BR,SARAN,555.0
BR,SHEIKHPURA,568.0
BR,SHEOHAR,569.0
BR,SITAMARHI,587.0
BR,SIWAN,591.0
BR,SUPAUL,611.0
BR,VAISHALI,660.0
CH,CHANDIGARH,114.0
CT,BALOD,48.0
CT,BALODA BAZAR,49.0
CT,BALRAMPUR,50.0
CT,BASTAR,67.0
CT,BEMETARA,74.0
CT,BIJAPUR,90.0
