State,District,Crop,Season,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21
WB,24 PARAGANAS NORTH,Arhar/Tur,Rabi,,,,,,,1.2272727272727273,1.6538461538461537,1.5,,
WB,24 PARAGANAS SOUTH,Arhar/Tur,Rabi,1.6263736263736264,0.44724770642201833,1.4027237354085602,1.5560640732265447,1.7198443579766538,0.6539325842696629,1.2384769539078155,1.6666666666666667,1.565217391304348,,
WB,ALIPURDUAR,Arhar/Tur,Rabi,,,,,,,,1.651851851851852,1.5625,,
WB,BANKURA,Arhar/Tur,Rabi,,,,,,1.0909090909090908,1.0909090909090908,1.6111111111111112,1.3529411764705883,,
WB,BIRBHUM,Arhar/Tur,Rabi,,0.36363636363636365,1.5,,,0.7736389684813754,1.2373887240356083,1.6505882352941177,1.5637998875772907,,
WB,DARJEELING,Arhar/Tur,Rabi,1.1,0.42857142857142855,1.35,1.3076923076923077,1.3076923076923077,1.2407407407407407,1.2272727272727273,1.6551724137931034,1.5666666666666667,,
WB,DINAJPUR UTTAR,Arhar/Tur,Rabi,1.1,0.42857142857142855,,,1,,,,,,
WB,HOOGHLY,Arhar/Tur,Rabi,,,,1.2475247524752475,1.188118811881188,0.7727272727272727,1.2403846153846154,,1.5614035087719298,,
WB,JALPAIGURI,Arhar/Tur,Rabi,1.1,0.4,1.3529411764705883,,,,,1.6514285714285715,1.5625,,
WB,JHARGRAM,Arhar/Tur,Rabi,,,,,,,1.1257861635220126,1.2040441176470589,0.9911504424778761,,
WB,MALDAH,Arhar/Tur,Rabi,1.0980392156862746,0.46153846153846156,1.375,1.2857142857142858,1.28,1.2407152682255846,1.7551020408163265,2.4,3.1677018633540373,,
WB,MEDINIPUR EAST,Arhar/Tur,Rabi,,,1.3333333333333333,,,,,,,,
WB,MEDINIPUR WEST,Arhar/Tur,Rabi,0.8794642857142857,0.28125,1.147887323943662,1.5670731707317074,1.6158536585365855,0.7714285714285715,1.127659574468085,1.2048192771084338,0.9899497487437185,,
WB,MURSHIDABAD,Arhar/Tur,Rabi,1.4690265486725664,0.46153846153846156,1.2692307692307692,1.4492753623188406,1.6689655172413793,0.6285714285714286,1.7194244604316546,2.148325358851675,2.957983193277311,,
WB,NADIA,Arhar/Tur,Rabi,1.6261180679785332,0.44742729306487694,1.403470715835141,1.5546875,1.719869706840391,0.6555555555555556,1.2383561643835617,1.6488888888888888,1.5628415300546448,,
WB,PASCHIM BARDHAMAN,Arhar/Tur,Rabi,,,,,,,1.2222222222222223,1.6666666666666667,1.5,,
WB,PURBA BARDHAMAN,Arhar/Tur,Rabi,0.8888888888888888,0.32857142857142857,1.3285714285714285,1.25,1.180722891566265,0.7142857142857143,1.2345679012345678,1.6481481481481481,1.565217391304348,,
WB,PURULIA,Arhar/Tur,Rabi,0.9047619047619048,0.6818181818181818,2.2429906542056073,1.2228915662650603,1.0774962742175858,0.7382352941176471,1.1240428790199082,1.1439114391143912,0.9778481012658228,,
WB,BANKURA,Bajra,Kharif,1,,1.25,,,,,,,,
WB,COOCHBEHAR,Bajra,Kharif,,,,0.2545454545454545,0.25217391304347825,0.25663716814159293,0.2543859649122807,,,,
WB,PURULIA,Bajra,Kharif,0.3548387096774194,0.3728813559322034,0.35714285714285715,0.4117647058823529,0.3877551020408163,0.37735849056603776,0.37735849056603776,0.4,0.4084507042253521,,
WB,BANKURA,Barley,Rabi,,1.2,,,,,,,,,
WB,BIRBHUM,Barley,Rabi,1.375,1,1.1875,1.2916666666666667,1.2857142857142858,1.3333333333333333,1.3714285714285714,1.2727272727272727,2,,
WB,COOCHBEHAR,Barley,Rabi,,1.9,,,,,,,,,
WB,DARJEELING,Barley,Rabi,,1.50098231827112,1.380392156862745,1.4392156862745098,1.4007858546168959,1.419607843137255,1.424901185770751,,,,
WB,DINAJPUR UTTAR,Barley,Rabi,1.3571428571428572,2,2,1.6666666666666667,1.5263157894736843,1.588235294117647,1.6111111111111112,,,,
WB,JALPAIGURI,Barley,Rabi,1.3333333333333333,1.4,1.2727272727272727,1.375,1.4,1.2727272727272727,1.3,,,,
WB,KALIMPONG,Barley,Rabi,,,,,,,,1.4,1.4,,
WB,MALDAH,Barley,Rabi,1.3783068783068784,1.467193675889328,1.419308357348703,1.419090231170768,1.3882783882783882,1.403776325344953,1.4117221418234442,1.4174757281553398,,,
WB,MURSHIDABAD,Barley,Rabi,1.381679389312977,1.325,1.844776119402985,1.501392757660167,1.432225063938619,1.4104477611940298,1.4206896551724137,1.430939226519337,1.901840490797546,,
WB,NADIA,Barley,Rabi,1.3832335329341316,1.6,1.6725663716814159,1.5052631578947369,1.5,1.4379084967320261,1.46875,,,,
WB,PURBA BARDHAMAN,Barley,Rabi,,,1,1,,,,,0.6666666666666666,,
WB,JHARGRAM,Castor seed,Kharif,,,,,,,,,0.5789473684210527,,
WB,MEDINIPUR WEST,Castor seed,Kharif,0.6,0.6,0.5972222222222222,0.5921052631578947,0.5925925925925926,0.6071428571428571,0.6290322580645161,,,,
WB,24 PARAGANAS NORTH,Castor seed,Kharif,1.9666666666666666,,2.6973684210526314,3.103896103896104,,,,,,,
WB,24 PARAGANAS SOUTH,Castor seed,Kharif,1.7197986577181208,4.6,4.5,3.759581881533101,2.559349593495935,2.940133037694013,3.170909090909091,4.920454545454546,4.8694444444444445,,
WB,HOWRAH,Castor seed,Kharif,1.6,1.2647058823529411,1.2586206896551724,,,,,,,,
WB,24 PARAGANAS NORTH,Gram,Rabi,0.9130434782608695,1.0623145400593472,1.0551643192488263,1.1133177570093458,1.125,0.6066212268743915,0.8709386281588448,1.2428571428571429,0.6833976833976834,,
WB,24 PARAGANAS SOUTH,Gram,Rabi,0.9177489177489178,1.063973063973064,1.0552763819095476,1.1130030959752322,1.1257396449704142,0.6070496083550914,0.8708133971291866,1.2333333333333334,0.6847058823529412,,
WB,ALIPURDUAR,Gram,Rabi,,,,,,,1.0161290322580645,1.4193548387096775,1.1166666666666667,,
WB,BANKURA,Gram,Rabi,0.4444444444444444,0.7058823529411765,1.4615384615384615,0.7692307692307693,1.3846153846153846,1.1935483870967742,1.0724637681159421,1.321273516642547,1.2633851468048358,,
WB,BIRBHUM,Gram,Rabi,1.2913144677202009,1.075556177417098,1.295610713784883,1.3257861635220125,1.389618050435039,1.0055357848952156,1.297265625,1.4817600905928983,1.5069346164732522,,
WB,DARJEELING,Gram,Rabi,,,,,,,1,1.4375,1.1666666666666667,,
WB,DINAJPUR DAKSHIN,Gram,Rabi,,,1.3636363636363635,,0.9473684210526315,1.1111111111111112,0.9333333333333333,1.471698113207547,1.1073170731707318,,
WB,DINAJPUR UTTAR,Gram,Rabi,0.8752642706131079,1.0980392156862746,1.4,,0.9423076923076923,1.1428571428571428,0.9166666666666666,1.471563981042654,1.105263157894737,,
WB,HOOGHLY,Gram,Rabi,,,,1.25,1.3703703703703705,1,1.2580645161290323,1.4363636363636363,1.2545454545454546,,
WB,HOWRAH,Gram,Rabi,1,,,,,0.5,0.75,1.2727272727272727,0.6,,
WB,JALPAIGURI,Gram,Rabi,0.875,1.0851063829787233,1.3953488372093024,1.1176470588235294,0.9532710280373832,1.146341463414634,1.0126582278481013,1.4193548387096775,1.1224489795918366,,
WB,JHARGRAM,Gram,Rabi,,,,,,,,1.3278688524590163,1.303030303030303,,
WB,MALDAH,Gram,Rabi,1.0738284703801946,1.1127931136835856,1.445635528330781,1.1319574734208881,0.9389053882053457,1.1525096525096525,0.9287268770402611,0.9708029197080292,1.0459869848156182,,
WB,MEDINIPUR EAST,Gram,Rabi,,,,,,,,,1.3068181818181819,,
WB,MEDINIPUR WEST,Gram,Rabi,1.2,1,,1,1.3333333333333333,1,1.0555555555555556,1.3296703296703296,1.3114754098360655,,
WB,MURSHIDABAD,Gram,Rabi,0.989088429188452,0.9140594824256469,1.210952632505723,1.1457621326042378,1.2425851336506775,0.5502719286013108,0.9176538572666859,1.5307606263982103,1.1263940520446096,,
